,article_title,lastrevid
172,Hysni Milloshi,1111101481
173,Musa Qazimi,1085455681
174,Mustafa Ndroqi,1091483288
175,Behxhet Nepravishta,1114419169
176,Adrian Neritani,1112281129
177,Sali Nivica,1074384873
178,Thoma Orologa,1114419178
179,Bedri Pejani,1080373501
180,Pertef Pogoni,1071576384
181,Kadri Prishtina,1114907355
182,Ymer Prizreni,1114419180
183,Avni Rustemi,1113688253
184,Chatin Sarachi,1089622596
185,Nebi Sefa,978173646
186,Eduard Shalsi,1090651886
187,Ylli Vesel Shehu,1002857261
188,Athanas Shundi,1090001664
189,Xhelal Sveçla,1110419834
190,Mehmet Tahsini,1089358942
191,Ibrahim Temo,1114899959
192,Pavli Terka,1107079359
193,Afrim Tole,1091240960
194,Sejfi Vllamasi,1073823015
195,Syrja Vlora,1109383587
196,Visarion Xhuvani,1115321286
197,Abdyl Ypi,1075914314
198,Xhezair Zaganjori,1106753028
199,Menduh Zavalani,1071577719
200,Said Abadou,1112193748
201,Tahar Allan,1059626268
202,Mohamed Seghir Babes,1079379844
203,Djelloul Baghli,1053461392
204,Noureddine Bahbouh,1099284595
205,Lamine Bechichi,1111537825
206,Bakhti Belaïb,1107713309
207,Mohamed Belouizdad,1102331624
208,Mourad Benachenou,1091746754
209,Benaouda Hadj Hacène Bachterzi,1064464792
210,Souad Bendjaballah,1064463751
211,Mohammed Saleh Bendjelloul,1064459314
212,Mohamed Bensalam,1053464158
213,Said Boualam,1104123484
214,Abdeslam Bouchouareb,1053459025
215,Brahim Chibout,1053460621
216,Bouras Djamel,1072064909
217,Ahmed Djebbar,1112131049
218,Fatiha Serour,1019766063
219,Mohamed Hassaïne,1098798192
220,Ibrahim Boughali,1110540602
221,Abdenour Keramane,1028900906
222,Abelkader Khamri,1088927932
223,Mahmoud Khedri,1102198843
224,Mohamed Laïchoubi,1053469601
225,Sassi Lamouri,1053478920
226,Mohamed Maghlaoui,1053469610
227,Amar Makhloufi,1053459748
228,Hacen Mefti,1053461924
229,Mokhtar Meherzi,1028900891
230,Mohamed Elias Mesli,1009461580
231,Azzedine Mihoubi,1031600815
232,Cherif Rahmani,1053461144
233,Naima Salhi,1113203380
234,Guillem d'Areny-Plandolit,1100710928
235,Guillem Areny,1101200095
236,Joan Armengol,1105550472
237,Francesc Badia Batalla,1102180575
238,Josep Maria Beal,1104772844
239,Climent Palmitjavila,1102731108
240,Antoni Puigdellívol,1100253414
241,Òscar Ribas Reig,1105529195
242,Boris Skossyreff,1114575861
243,Enric Tarrado Vives,986671433
244,Alexandre Sebastião André,979043156
245,Isaac Maria dos Anjos,1087791055
246,Paulino Baptista,1098277989
247,João Baptista Borges,1108136082
248,Branca Manuel Espirito Santo,1082903108
249,André Luís Brandão,1092527809
250,André Gaspar Mendes de Carvalho,871672690
251,Carolina Cerqueira,1081277226
252,Arlete Chimbinda,1101656146
253,Kafundanga Chingunji,1111470901
254,Jeremias Chitunda,1076646666
255,Abel Chivukuvuku,987997249
256,Adalberto Costa Júnior,1107102259
257,Adjany Costa,1081302172
258,Álvaro Arnaldo Craveiro,1112653739
259,Raul Danda,1099408586
260,Carlos António Fernandes,1003396569
261,Fiel Domingos Constantino,1082902869
262,Abraão Gourgel,1080440646
263,Maria Monteiro Jardin,1095470855
264,José da Rocha,1094974511
265,Mateus de Brito Júnior,1054271575
266,Kambamba Kulaxingo,1093124425
267,Abel Xavier Nzuzi Lubota,1080325199
268,David Mendes,1024544204
269,Fernando Faustino Muteka,1079490106
270,José Ndele,1101583647
271,Daniel Ntongi-Nzinga,848334573
272,Pedro Tonho Pedale,1113903559
273,Elias Salupeto Pena,994023688
274,Pinda Simão,1093735313
275,Johnny Eduardo Pinnock,992923654
276,Santana André Pitra,886771177
277,José Aníbal Lopes Rocha,985054758
278,Luís Gomes Sambo,1114131425
279,José Filomeno dos Santos,1111269228
280,Jonas Savimbi,1110987217
281,Manuel Bernardo de Sousa,886461023
282,Augusto da Silva Tomás,1112407992
283,Luzia Inglês Van-Dúnem,1067323463
284,Manuel Vicente,1106406859
285,Mfulupinga Nlando Victor,994085067
286,Randolph Beazer,1094157275
287,Studiation Brown,825090349
288,Colin O'Neil Browne,1108425154
289,James Carlisle,1112658085
290,Gail Christian,1082380535
291,Osbert Richard Frederick,1082381271
292,William Haynes-Smith,1037116181
293,Tim Hector,1075044001
294,Cheryl Mary Clare Hurst,1082380270
295,Wilfred Jacobs,1110866224
296,Harold Lovell,1106157497
297,John Lyons (Antiguan politician),1102523754
298,Edmond Mansoor,1106044619
299,Joanne Massiah,1095742971
300,Melford Walter Nicholas,1113392435
301,Bernard Percival,1073473676
302,Alincia Williams-Grant,1080767913
303,Joaquín Samuel de Anchorena,1096421201
304,Juan Agustín Augier,989941326
305,Uladislao Augier,1083670137
306,Joaquín Belgrano,1033486500
307,Antonio Bermejo,1111012579
308,Antonio Beruti,1072761348
309,Héctor Bidonde,1091652004
310,Silvano Bores,1035890502
311,Pedro Braillard Poccard,1100848745
312,Exequiel Bustillo,1096179751
313,Mario Cafiero,1102185475
314,Alberto Manuel Campos,1073206939
315,Alejo Castex,1096414709
316,Dámaso Centeno,1096183091
317,Carlos Corach,1068148753
318,Jorge Coscia,1099409991
319,Juan Carlos Del Bello,1100037128
320,Luis L. Domínguez,1089356576
321,Máximo Etchecopar,1115155777
322,Héctor Toty Flores,1067754685
323,Juan Fugl,1073206214
324,Santiago Gallo,1039135531
325,Manuel José García,1007128573
326,Juan José Gómez Centurión,1110844685
327,Luis Carlos Gómez Centurión,1040878894
328,Martín Guzmán,1111128923
329,Federico Helguera,1066754349
330,Fernando Iglesias (Argentine politician),1093400021
331,Ricardo Kennedy,1096426574
332,Carlos Kunkel,1005790906
333,Norberto La Porta,721029407
334,Andrés Larroque,1060504858
335,Julián de Leyva,959654287
336,Mónica López (politician),797826672
337,Lucio Victorio Mansilla,1086339086
338,Nicolás Massot,1069153148
339,Juan Mignaburu,994878410
340,Guillermo Montenegro,1096175549
341,Mariano Moreno,1113829451
342,Marcelo Muniagurria,1108926646
343,Fernando Nadra,1105357958
344,Rómulo Sebastián Naón,1096261399
345,Santiago G. O'Farrell,1096261487
346,Miguel Ángel Pesce,1096459313
347,Carlos Petroni,1100374393
348,Alejo Peyret,1091481103
349,Aldo Pignanelli,1106856167
350,Enrique S. Quintana,1016343362
351,Amán Rawson,1096678788
352,Martín Sabbatella,1073202733
353,Juan Pablo Schiavi,1069152180
354,Héctor Tizón,1096176230
355,Claudio Uberti,1032047313
356,Arístides Villanueva,994807413
357,Artashes Abeghyan,1088583026
358,Aram Achekbashian,1046857776
359,Hovsep Arghutian,1095822812
360,Mikael Atabekyan,1008108682
361,Tigran Bekzadyan,1027604306
362,Vigen Chitechyan,1099308421
363,Hayk Chobanyan,1093711595
364,Daniel-Bek of Sassun,1114419837
365,Gurgen Egiazaryan,1103745376
366,Parunak Ferukhan,1114420012
367,Hambardzum Galstyan,1084735335
368,Gegham Gharibjanian,1048485720
369,Gevorg Ghazaryan (politician),1082547991
370,Andrias Ghukasyan,1108345283
371,Aram Grigoryan,1112117000
372,Armen Grigoryan (politician),1069944070
373,Hayk Grigoryan,1090623549
374,Grigor Jaghetyan,1062820993
